iter	Logloss
0	0.4947422808
1	0.3440368236
2	0.2781929673
3	0.2254799281
4	0.1789704802
5	0.1430846647
6	0.1171340641
7	0.1035415759
8	0.08916834306
9	0.07959611888
10	0.07177309303
11	0.06517141092
12	0.06127239617
13	0.05790288874
14	0.05508678415
15	0.05275765801
16	0.05004890442
17	0.04849553915
18	0.04641293997
19	0.0451733473
20	0.04306263217
21	0.04198606447
22	0.0409961542
23	0.04024921582
24	0.03956277538
25	0.03844953727
26	0.03725971973
27	0.03631165983
28	0.03502864055
29	0.03437108688
30	0.0335296201
31	0.03288605882
32	0.03227093515
33	0.03193356016
34	0.03158677356
35	0.03088360513
36	0.03042262962
37	0.03010783703
38	0.02974754547
39	0.02915084281
40	0.02842679082
41	0.02819008313
42	0.02787851979
43	0.02764735226
44	0.02707418112
45	0.02663790028
46	0.02619467186
47	0.02584944117
48	0.02563442679
49	0.02522158699
