iter	Passed	Remaining
0	4	203
1	8	199
2	12	193
3	16	190
4	20	186
5	24	181
6	28	177
7	33	173
8	37	168
9	41	165
10	46	163
11	50	159
12	54	154
13	58	149
14	62	145
15	66	141
16	70	137
17	75	133
18	79	129
19	83	124
20	87	120
21	91	116
22	95	112
23	99	108
24	104	104
25	108	100
26	113	96
27	117	92
28	121	88
29	126	84
30	130	79
31	134	75
32	138	71
33	142	67
34	146	62
35	151	58
36	155	54
37	160	50
38	164	46
39	168	42
40	173	37
41	177	33
42	181	29
43	185	25
44	190	21
45	194	16
46	198	12
47	202	8
48	206	4
49	211	0
